,note_24,note_25,note_26,note_27,note_28,note_29,note_30,note_31,note_32,note_33,note_34,note_35,note_36,note_37,note_38,note_39,note_40,note_41,note_42,note_43,note_44,note_45,note_46,note_47,note_48,note_49,note_50,note_51,note_52,note_53,note_54,note_55,note_56,note_57,note_58,note_59,note_60,note_61,note_62,note_63,note_64,note_65,note_66,note_67,note_68,note_69,note_70,note_71,note_72,note_73,note_74,note_75,note_76,note_77,note_78,note_79,note_80,note_81,note_82,note_83,note_84,note_85,note_86,note_87,note_88,note_89,note_90,note_91,note_92,note_93,note_94,note_95,note_96,note_97,note_98,note_99,note_100,note_101,note_102,note_103,note_104,note_105,note_106,note_107
family_string_note_24,0.0267560498173584,0.012192414981129763,0.005205796676126604,0.004601257981818055,0.00341583367272122,0.022813580309343762,0.04760451150806898,0.23896051287478315,0.43632161156047833,0.3251847832253765,0.8419464629090582,10.173545008923385,24.609758588641085,6.4707693141352145,0.994273248370176,0.6732724993333341,0.2563149872148097,0.1788471578783913,1.2572443997050768,4.9886824288110665,1.7702755535781456,0.1011574325290306,0.05214167625326409,1.7309259207678445,7.104635915897846,2.176751179448213,0.062316459920743014,0.36775645301713233,1.194314948300891,0.3125443093820994,0.05387920981070339,0.20530440489149285,0.0690342527259839,0.08481612402666192,0.1562443493967292,0.04063878700335995,0.05271241898207915,0.04590954319856716,0.1068950152822178,0.043198252545745164,0.03423950280606959,0.02279217138600522,0.01740212737828056,0.016660629186915323,0.01974669312974848,0.021607462186554086,0.009908373279891651,0.007994184395085688,0.005709229190727162,0.0039673745736744535,0.0024460891805206954,0.0033201856540338807,0.0027980829840962627,0.0017393960950840518,0.0014903137080368013,0.00394134747002309,0.004032026473113628,0.0024619741777526225,0.001897344095546457,0.0019804927344166967,0.0018851860744358373,0.001340751186879459,0.0019742622398119048,0.0006518457289908194,0.0045382766929406276,0.005736379411749743,0.0011304885246988898,0.0006564250611086352,0.0004234976912894574,0.0007048005838062179,0.002052348776590791,0.0012319262315838525,0.00033728632924006805,0.00016975609820399205,0.0006211661029141078,0.001177377209566392,0.00012269037027808557,0.0008535512648866411,0.0004468220109492621,0.00014581784062714967,0.00019469361105218288,0.00023438076417896256,0.00025617121202279713,0.000282313659145361
family_guitar_note_24,13.351100948393986,4.11979185966166,0.37823714519116913,0.22584305534155621,0.39141127841408024,0.35978152347541537,0.1728254178978789,0.10283709624278857,0.26663271397226057,0.4366482901229205,0.46470598829501025,3.127412350508472,7.8391307410379945,2.696039697239255,0.3457659624474387,0.14721631889074765,0.11547258588371087,0.1046042921826183,0.6675782938191095,2.642386391093346,0.9061072671340531,0.0514866293738595,0.0762360590695748,0.24374759644934454,0.6179816140270065,0.47566861541719296,0.14162454652874085,0.3146433036458588,1.1958968946112185,0.5050318081523698,0.31993769929160215,2.113143440542434,1.2153929660217069,0.2402936407789854,0.3609970455709268,0.08424792383148395,0.08691404964569426,0.024932297324908287,0.050158738339561346,0.03620633471171945,0.05057397500304039,0.031568100372560734,0.02152489482127665,0.04579256661718335,0.019725682411851735,0.01847869387195179,0.03610585477327178,0.05204463594106567,0.14634840039999428,0.04499719944884236,0.014744836586947457,0.014872490790183261,0.01591195785940755,0.017380952243192256,0.01716305246813377,0.017966070653977137,0.014857591202563749,0.007936437934811467,0.007580332283685561,0.011017819434406242,0.015285129222824474,0.00690927169724889,0.0070267224014162865,0.015370243200322037,0.03273234589991629,0.04786034560420507,0.061318980597333365,0.09806554622298658,0.031084491514088666,0.006113359907569092,0.0037032657987134863,0.00688622528497985,0.012808974004541606,0.014732503058853267,0.007661288870227755,0.004449691882451335,0.002541520107559375,0.0021384539054108047,0.0035744873342315564,0.0021492439616809253,0.002071889828853694,0.0022995690212197443,0.003388832498040984,0.0027725505766914445
family_brass_note_24,0.026162023161293204,0.016515897043004997,0.006441982283101291,0.007378165631898577,0.006702810868126616,0.002341615908474652,0.0011224977566347979,0.0012865539660923107,0.0018694843234778743,0.0019899519479626253,0.0034263088792852473,0.06655181152033116,0.2750366597064533,0.19191084044535242,0.09054655408611947,0.024621151998681444,0.012253886951173222,0.0083513745805394,0.3732021183940116,0.960548914097062,0.22673737811891703,0.015200575724936865,0.00541746418773484,0.061762330759307905,0.21581299330111287,0.14398181141547275,0.07298688108877134,0.11655346834225196,0.25313624833324927,0.08339607203877976,0.08378445815351611,0.1515423117546476,0.04783881205868381,1.0688118786772969,1.7619978309053324,0.6631854386166742,0.7277697617139,0.17895698371037222,0.19892072703232921,0.1863920506421881,0.18584850443694365,0.12024157733333268,0.14187724288997083,0.10452673176330692,0.06253495867421117,0.04716981010576035,0.041260870068507045,0.06570395627835028,0.0993177546577699,0.080928918325931,0.0629112581787113,0.06686664937115949,0.05069419632050959,0.054871075633534376,0.03754537075789027,0.02753320692579694,0.02568812945898587,0.01842690714346999,0.015518062347473934,0.01307032269664266,0.011854581945404364,0.01053899484648354,0.010771703749919868,0.00909750830807537,0.006838400437480417,0.005803588671017913,0.004859260272054355,0.004190549841411797,0.0035456040787159664,0.002963186200325488,0.0019890889863742726,0.001090811069335506,0.0006045716259944977,0.00033638719488016404,0.0001793414992709877,0.00014763248311251752,0.00015024909087333198,7.844069698095659e-05,2.8443088697279903e-05,5.945866152714095e-05,0.00010193308279023284,0.00012961040005636973,0.00013631641093345327,0.0001066202944945449
family_string_note_25,0.010152072549438826,0.036180241173666194,0.013340844791348564,0.00437629238960861,0.003872512595401234,0.0025938343284503383,0.020064853034803272,0.043477869456355865,0.21409451906387644,0.3870051515796468,0.30193432785159413,1.220649771176641,5.981511163402911,14.29951484341747,4.0243703088401555,0.9844888081379477,0.5926233721123151,0.2408550484529999,0.22687207724243424,2.419852450669321,7.920637038098414,2.482680524149788,0.06733238813591867,0.08204190915182173,0.15857404536043948,0.3129756062840496,0.10494208129607226,0.029890720511141895,0.35148608796050484,1.392953820109175,0.5221297086419662,0.06779778264989351,0.14459967322918124,0.10112483416399409,0.03868325156271299,0.1385540557818223,0.05948503829653096,0.08359400322482104,0.05811295079185811,0.10983223079031465,0.07806390216247569,0.024029952132171507,0.018261520043566275,0.02293435768812265,0.016137210927551576,0.040239539773481436,0.21390276513041254,0.10045311275924956,0.019061773613147467,0.012661070720598598,0.0052195866576329655,0.004477251651080799,0.0029837728147344344,0.003276457703510838,0.0024117001836310107,0.0016996874131410924,0.0022294618096693995,0.002121890133558743,0.0011559202620504572,0.0008514658679341419,0.0013360478744305004,0.0012372668346833625,0.0005243227020939045,0.00030403516220846224,0.0002647599177309712,0.00020021613632598026,0.0001244823514391514,0.00010044933464070832,5.489943406902871e-05,2.8225006231906997e-05,2.6291444325973824e-05,1.5471770557190325e-05,1.1878066458983413e-05,9.928840785857861e-06,5.559048250437884e-06,5.004223703928302e-06,3.798642579331924e-06,1.923017836837562e-06,2.431309891481771e-06,1.8836057643746069e-06,2.3097367500181826e-06,2.3232877360259563e-06,2.3043185122040383e-06,1.2233985327848412e-06
family_guitar_note_25,12.765089829762104,38.12014569825848,10.331842841347648,0.639765983832461,0.3501312404524117,0.38378246000789806,0.2554117565868855,0.10615308907539811,0.13015601647214536,0.28013004520728807,0.3271605797481846,0.3840305198450566,2.734809090742534,6.717293373811914,2.264226525579312,0.31550814785135767,0.15723716913910074,0.10514448549599191,0.09639239773506035,0.7087684707819966,2.5322011307548693,0.8682223544711184,0.07650561156293526,0.08312913038038676,0.20868457770795992,0.5798731042257866,0.3969481230614894,0.10102772232661814,0.2871079617039767,1.139706894832299,0.4774909266873015,0.33171037393656455,1.8696065231103045,1.0798922280660683,0.22063366585349378,0.35751528170311314,0.079699508179572,0.08787930611957627,0.03377164489033959,0.05133046127573508,0.01861633902634438,0.015157563496426002,0.05735814136124593,0.0712566613063256,0.0659326353171936,0.04034524016083308,0.03445376198870663,0.027939773940313602,0.06678570444561821,0.13077636701794784,0.03882239958507287,0.023065249406290463,0.019404766182698343,0.017005164564153994,0.04042992229386355,0.046758160099256284,0.0205495241819143,0.02084691211359092,0.008721130800743881,0.015155587439335394,0.009744035569346495,0.008375504980561738,0.010700672972533055,0.017057671423742676,0.025637422021690077,0.03424735031521756,0.05154646760283287,0.06798278698252347,0.09402438692217796,0.02849241410535831,0.008730672320743742,0.00844695057281378,0.00806386198284222,0.013142691621220627,0.014287811680094522,0.00793263186011102,0.008239742216380791,0.006601537631117646,0.004899468906346933,0.005007985525732994,0.003267995114063523,0.003207874937782191,0.0034679199967312473,0.0028498967215154465
family_brass_note_25,0.006773617774483502,0.01724637565349731,0.012434591172549105,0.005466367731344795,0.006547065981377455,0.006221739837127979,0.0021573686668360276,0.0010029652812233933,0.0011926406872011899,0.0016056502229343634,0.0016732808941136363,0.0031086978141236566,0.05560979011683601,0.22229326411008463,0.1685360694420502,0.08186008543672638,0.022366758894606653,0.011172595652368588,0.007641791144817636,0.3630725920274618,0.9051390076215611,0.21105160197832878,0.01525840192128792,0.004850284495285011,0.06002455646039274,0.20888139063348668,0.1334953338958057,0.0673231441258143,0.096222066964516,0.20912157563266476,0.07453348851658706,0.09472149086984519,0.22375605073040586,0.08248821156833352,0.9419733057721704,1.574910968739545,0.2738610374674949,0.5124782166440679,0.20114590479143887,0.2091663638506936,0.1976255234343763,0.19734288058024146,0.15906236856494896,0.12565728443955412,0.08039001412363152,0.0723827730667957,0.07039856807246918,0.06418826849547252,0.07090079148487884,0.07564432577937502,0.05699787587188893,0.05774358123155402,0.06134172380794926,0.030704971777499368,0.0342502772797681,0.02372202862472239,0.017145828640894516,0.016662180037800237,0.014855005019273957,0.012515432160701999,0.010867539452678206,0.00877676281530225,0.007955441511373047,0.0077340435286967334,0.006486153046452444,0.005034960478904485,0.004159650598080578,0.0040823769270964825,0.0035513011609879276,0.002915399451344341,0.0022394440445885257,0.0013778648039647133,0.0008048232416288002,0.0004354979387820904,0.0002586105862766649,0.0001774133891795387,0.00020548324814923975,0.0001664356722937466,7.541576326797723e-05,5.306259357909632e-05,4.512583360251699e-05,4.711500486834969e-05,4.566088546050586e-05,3.7988430884124065e-05
family_string_note_26,0.0025885510912328448,0.02298969753457664,0.08050152324446792,0.026421870220368272,0.0032572974726523887,0.0031177586545403013,0.002864753417609844,0.018916002983054146,0.04091396462234294,0.18274923890853642,0.34534840809217426,0.6338072607226991,1.2198666318546778,6.898470611843393,26.59747625710987,10.53858635866339,0.9792623605830386,0.6205496302082151,0.7650281110846852,0.4307723594610331,1.355069752041875,4.6708172339369876,1.4502212506948022,0.05963949209960006,0.06120074952189845,0.16997164028027073,0.500733017728483,0.2004450297254138,0.03366909312452604,0.325177165210711,1.0533985001189228,0.2724507012449451,0.033309938111309785,0.19234309359115043,0.0902125648970025,0.030477260474599657,0.09745381796081595,0.08633581608509329,0.3131846355770827,0.1678019480289862,0.15093338460759625,0.08537554693721798,0.028944505676153257,0.11246147119533012,0.27605837454098986,0.05973102474715763,0.09519835554764866,0.22173707498197356,0.042458414478476376,0.008238870196615945,0.008249221679890416,0.012120855793538459,0.010674447430743387,0.02256252825873466,0.02210323516782731,0.005534879129579275,0.0029458394778808512,0.007293388847621986,0.0035561438825013067,0.004512213802926767,0.006245839560731106,0.009033019709987863,0.0036059809684887284,0.0022128596748061126,0.0036101994914056927,0.0029464225139380477,0.00426617730898315,0.0026836151469905077,0.00039244922950062625,0.0007837642683088846,0.0005296293775016733,0.0003911182583480645,0.0007582695314438319,0.0003278753164115919,0.00015649265140397508,9.120026275917083e-05,0.0002795697263842506,0.0003427624303138944,0.00020324738080646138,0.0006986780278209903,0.0002355983695659856,0.00034637115484224823,0.00043826383565715566,0.00022491395417681566
family_guitar_note_26,1.2803540340462762,7.0922254332036845,16.745262787522577,3.9923323321965656,0.3260339025824829,0.4019629774093254,0.34690088714071565,0.16113707664757537,0.06983466099097001,0.14926375021197047,0.215737136874935,0.13862910871115766,0.1891460842482758,2.219824103584834,6.545063167485649,2.062515389768373,0.14043094732638817,0.07431406028103305,0.03571840261618497,0.08545550684783583,0.730373768228265,2.3420437863721157,0.8019950934165821,0.075901012547081,0.06592004022816696,0.19816948962638642,0.45383449376250984,0.12687076062114236,0.030190403126214117,0.2888825170455074,1.1148200448032604,0.445347417861704,0.23263422262475109,1.1418480591443905,0.6103225033968388,0.12284579120955533,0.20362110637627145,0.05494499188641288,0.09426327842952392,0.03639847692220878,0.059215130962820064,0.02982240769586012,0.03919383778460761,0.05797209738334973,0.051873480501131816,0.03422923950352361,0.014857485915098105,0.022378077590707184,0.03725815437145143,0.04315051847748581,0.11674806281921016,0.03595348127014411,0.02544401285758889,0.0264393334285662,0.03992815204693617,0.05494961442661673,0.016640325002891407,0.014525386385599599,0.0160835406946753,0.011307461740634238,0.0158982963776724,0.00811970919627882,0.014441813172265353,0.011418063305168919,0.01726579632980324,0.019133053768417826,0.033705201997593574,0.05366465145866445,0.06701509691204321,0.08883577827129154,0.026259978376906967,0.00993080187569038,0.0070923677285136535,0.007191726503032147,0.011822239888300437,0.01171340118276657,0.008352381990796846,0.007371608087542783,0.004995807400647022,0.004317696347386165,0.005611682904244837,0.005521443070928366,0.0024026117350325663,0.0015602735765335865
family_brass_note_26,0.0012636258084520874,0.007629344330849774,0.02542535053334779,0.014694399401850215,0.005708365045609252,0.006222637498841481,0.005662517862595911,0.002161688022077499,0.001146398861540527,0.001004112289320662,0.0010867213804409523,0.0010278365886535236,0.002226236644000536,0.06976504588943361,0.2629643979044123,0.16916392480830736,0.0706795673374015,0.01898525498869524,0.010209254022872876,0.007612680739564983,0.24640507625844604,0.656077436281996,0.1652324711864244,0.011248320094300858,0.004401229621488752,0.03891860844279581,0.11471976282256362,0.09491035515227784,0.05913836768463745,0.11030135606979412,0.2476427384980006,0.07694923225661145,0.11055616769877867,0.3032714883740455,0.08903097241486861,0.7604920580635778,1.1944338584285494,0.26576732525880004,0.3773091369368245,0.22934926921960497,0.17470534209741226,0.17548663051293345,0.18262661514463702,0.1825545659603392,0.12386134268900663,0.08211363204882094,0.06616923366340689,0.05783382647901429,0.05634318101689103,0.07758968987093649,0.06869515346654584,0.0695385984387009,0.05355053146645915,0.04731885612284546,0.0413950469853958,0.03923939738855472,0.019593603333513124,0.016666017681042953,0.013859283302382034,0.012355195064390435,0.012182374557332004,0.00961974933341386,0.009316940217792506,0.009405923598214698,0.0072031644677459416,0.00435819178928115,0.0035784750158402634,0.00389264611620996,0.003522931113176287,0.0026314389603101307,0.0020023261618718935,0.001483610485863693,0.0009731091250985159,0.0004120292574140957,0.0002767079895601569,0.00020512971899954913,0.00037106799894558087,0.0003274612463840941,0.00011438430779460855,2.2181007513922932e-05,1.7806836335275124e-05,1.4401528768796982e-05,1.5884420189119805e-05,1.0322883738037767e-05
family_string_note_27,0.0008877249864741945,0.0018669437718517453,0.029253166807412738,0.10483344601461939,0.034195513380286445,0.002452999511073241,0.0017909719744303519,0.0021455491438174676,0.011803905076864515,0.031185502106864816,0.2692311571948583,0.943604283099133,1.0573083937009995,0.7100333704655156,4.491303948800915,15.588132739041486,4.603142760916041,0.5840860310695829,0.5373266913102814,1.1636878698603674,1.0121144963490107,2.415852247772754,8.039104029368737,2.6574083242127666,0.09493959691111722,0.0633863954660932,0.2273353778561834,0.6075020886684125,0.2072963226225826,0.02908738567395055,0.6636541687292605,2.171132225922166,0.5443418828973788,0.022095083378490726,0.055008241170466335,0.02076331109391001,0.2037134054998298,0.4272105379250088,0.12172719281048769,0.11686060539853081,0.060858719294456,0.11627569286925353,0.04646765057714387,0.030169450485965373,0.030879560031929206,0.02845828383045438,0.028990856201870994,0.022315526635725003,0.011155455632453862,0.014871007364714766,0.009268777783263758,0.01277731815053594,0.05362307812523366,0.047762725753124256,0.021807405034208006,0.004874391335009379,0.002121099785383429,0.0032815055787347364,0.00373127509738234,0.002074449908093416,0.003670882012674605,0.0020596047581786436,0.001628091286906482,0.002443222556175995,0.0021635591902442793,0.0032976656211452793,0.0021333597661233605,0.0017034252211291993,0.0010730720029445467,0.0003037564711266247,0.000462809040920253,0.00041548819689865265,0.0002240194325083075,0.00039943019125916805,0.0004461910995685703,0.00019908681564942136,0.00020708000027028846,0.00019220541978223486,7.649770201510732e-05,0.000161222334645626,0.0002471009819574751,9.571826340910358e-05,7.54512394779028e-05,0.00010105177772192822
